likert,effectTime,didnotagree,language,rawwords,agreed,when,userid,effect,param,quiet,surveyID,sessionid,key,useragent,ind,cleanTime,irb,words,audioFile,listen
4,43.391,"unpleasant,spectacular,grand,organ,calming,classical,cathedral-like,gothic,smooth,spooky,clancy,none of the above",English,"spacious,warm","peaceful,warm,noisy,joyful",2014-03-20T04:14:34,e2silkw3m5he7rwDjh8E,reverb,"0.0869,0.9100,-0.0085,2682.0000,1.5289",yes,nDJQHNWEf37FeQMvbYr6,mH3K6iStQT5FSM26tSfj,4743939554803712,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",11,28.763,true,"spacious,warm",/static/audio/drums.mp3,standalone
4,281.824,"church,echo,muffled,loud,war,distressed,hurts-ears,far-away,nice,ominous,continuous,creepy,foreboding,static,none of the above",English,"dream,chamber,lush,endless,cosmic",deep,2014-03-23T02:55:55,tznkBhtGvOMKzZOtgCkI,reverb,"0.0500,0.9400,-0.0008,2002.0000,1.4383",yes,S6JT4xQu76NpDnAfvaEx,1OR2Jw2yLf8kzPsscd8i,4744325028118528,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",44,34.125,true,"dream,chamber,lush,endless,cosmic",/static/audio/guitar.mp3,headphones
2,50.078,"sharp,cadence,bang,drums,outstretched,enlarged,close,low-quality,short,ghostly,mixed,dramatic,none of the above",English,"louder,far-away","boom,increased-base,drum-line",2014-05-13T14:20:30,xVsTMNxxndpQwXHlAnzy,reverb,"0.0109,0.0100,-0.0061,22050.0000,434.3400",yes,62YC3947Oly3oKTYDyf0,Rb2m6B9JyvlvXy0EvXI6,4744596953235456,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",46,24.577,true,"louder,far-away",/static/audio/drums.mp3,headphones
3,14.225,"seamless,lingering,distant,long-tail,somber,muddled,lasting,echo,horror,warm,boring,spacious,none of the above",English,good,"big,reflective,love",2014-03-23T21:42:43,2b4pq6xqc7tVJenOfPxM,reverb,"0.0310,0.9600,-0.0088,11564.0000,0.4919",yes,mmEs2w5wdEgaR9IOI2DD,Xkxnh8Aa4vSvffTozZ6k,4744883373867008,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",104,15.062,true,good,/static/audio/drums.mp3,headphones
4,63.15,"bells,powerful,ringing,monotonous,good,spacey,gothic,feedback,echo,hospital,nervous,sad,none of the above",English,deeper,"electronic,demonic,organ-music",2014-03-25T01:33:37,BHIS63miLt57aokPkEDx,reverb,"0.0848,0.9100,-0.0100,2916.0000,32.4990",yes,M1eM2CQn7CgfJT9d7qTy,bVkp4vDBMgb3n3jFXhHn,4745501849157632,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",113,14.127,true,deeper,/static/audio/guitar.mp3,headphones
4,20.112,"drifting,cavernous,echo,spacious,quiet,heavy,covered,big-hall,underwater,distant,spiritual,empty,poetic,none of the above",English,subdued,"hollow,smothered",2014-03-22T14:17:36,TNJeA0JUoZ0AYtrX6a6p,reverb,"0.0509,0.9400,-0.0101,615.0000,37.9310",yes,zMBWnLGhJGzP1lijH1Os,cRALk3qmI8nyCdr0WfBZ,4745665057914880,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",162,22.386,true,subdued,/static/audio/guitar.mp3,standalone
4,26.819,"hollow,flat,harsh,tinny,toy-like,none of the above",English,"spacious,big,echoing,large,big-room","stadium,spacey,boomy,full-breathed,auditorium,spacious",2014-03-18T01:44:34,Yia15WDTfeZqt4k8Zllj,reverb,"0.0568,0.9100,-0.0013,6729.0000,1.0899",yes,59nfoyrxRl8eWqVMMmtW,pB4ar2CwamVbmiTtwNR9,4746001139105792,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",70,55.394,true,"spacious,big,echoing,large,big-room",/static/audio/piano.mp3,headphones
3,15.67,"tinny,suspenseful,far-away,deep,warm,shallow,pleasant,legend,distant,surround,open,none of the above",English,drumpets,"bass,spacious,dramatic,live",2014-03-18T17:30:03,WVtSpQz2FWV29hWGVNyk,reverb,"0.0140,0.6900,0.0012,22050.0000,12.8170",yes,Ga02SMNsvUe0rsm5CPwI,lnWhYCha5GiiSmFJTr7j,4746056973680640,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",158,15.347,true,trumpets,/static/audio/drums.mp3,headphones
2,27.17,"powerless,soothing,rounder,enlarged,pleasant,similar,sharp,bang,average,tinny,hall,loud,drum-line,none of the above",English,"broken,dischordant","low-quality,drums",2014-05-13T17:30:42,UcMj5AZe6RWdDLufv8l9,reverb,"0.0109,0.0100,-0.0061,22050.0000,434.3400",yes,8C68zfrOvnf5H9wx1XHM,GkStl7NxyboQCkzC3d9H,4746420166852608,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",46,32.218,true,"broken,discordant",/static/audio/drums.mp3,headphones
3,20.699,,English,close,,2014-03-15T00:41:11,Rwykd5zHFCwBUjAr3eoy,reverb,"0.0159,0.8000,-0.0085,7949.0000,1.4358",yes,052QWalwfYc7yjVdaSDa,8UvDQHBtVJ6MaBaHyQPC,4746422045900800,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",118,36.995,true,close,/static/audio/guitar.mp3,headphones
4,64.288,"enchanting,large,only-bass,ass,roomy,ample,distant,appealing,faint,none of the above",English,"dark,deep,eerie,ghostlike","mournful,submerging,rocking,overpowering,expressive,unpleasant",2014-05-13T13:53:06,OdVI6lsQW11OotqI7skV,reverb,"0.0869,0.9000,-0.0113,2519.0000,5.1962",yes,gXhvl2yBej7BO6feVR9m,rX9GGEokzfWhsXn08PKv,4747460354244608,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",135,19.239,true,"dark,deep,eerie,ghostlier",/static/audio/piano.mp3,headphones
3,34.323,"warm,soothing,calm,echos,choir,screechy,church,full,jazz-band,deep,horror,like,heavy,none of the above",English,"echo,trashy,higher-treble","echo,school-auditorium",2014-03-20T19:51:15,m5sjrFAnMXi6YpjIU7Hi,reverb,"0.0159,0.9600,-0.0071,22050.0000,8.7133",yes,p394De0ffwSLq3FZVGiw,cvhcqjxA3BuwdFaEqTyL,4747856564977664,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",237,15.117,true,"echo,trashy,higher-treble",/static/audio/drums.mp3,headphones
2,191.377,"echoes,warm,echo,nice,somber,encompassing,inviting,muted,hallway,rich,softer,cool,rock-band,none of the above",English,"background,afterthought,dreamy,fantasy,floating,space,warped","vibrancy,friendly",2014-03-23T03:43:32,tznkBhtGvOMKzZOtgCkI,reverb,"0.0249,0.9700,-0.0071,56.0000,8.2844",yes,xKvYE2oRlDbumvCRIf0s,mCWiiLOLEmlsomMST1Ie,4748035879862272,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",116,19.535,true,"background,afterthought,dreamy,fantasy,floating,space,warped",/static/audio/guitar.mp3,headphones
3,0.706,"powerful,drumming,good,fuzzy,low,nice,organ,thumping,muffled,booming,cavernous,haunting,clearer,hollow,none of the above",English,band,beat,2014-05-14T03:27:24,XFXX6TSnsewkBIJ82TRH,reverb,"0.0109,0.0100,0.0049,475.0000,2723.2000",yes,ELAun8r36MMKkdNJcYdR,r9YUDUPLqLgogMzZkNZ4,4748275592724480,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",74,104.256,true,band,/static/audio/drums.mp3,headphones
2,58.316,"calm,closed-off,romantic,censers,confined,echo,louder,none of the above",English,sad,relaxing,2014-03-18T02:48:40,a1uEPxNLVwvs7RmRqiPR,reverb,"0.0340,0.6400,0.0075,22050.0000,2.7517",yes,tVfQ56301iu1EFBRmSoM,ZLBlQkSDOpQItNuhEaFg,4748277471772672,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",136,11.185,true,sad,/static/audio/guitar.mp3,headphones
4,3.757,"softer,unclear,grating,echo,harsh,spacious,group,intense,expanded,versa,crunching-cereal,powerful,none of the above",English,"operatic,harmonious,picky","church-like,pipe-organ,over-bearing",2014-03-18T23:11:57,O49tTaJ8R6sWXx4lSHsq,reverb,"0.0989,0.8500,-0.0100,22050.0000,2.2738",yes,V7nv2rBACXniNyPp83YH,QoDkKHONnKLNWJmveNna,4748711263469568,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",205,40.047,true,"operatic,harmonious,picky",/static/audio/guitar.mp3,headphones
4,30.115,"battle,extensive,wet,unpleasant,drums,distorted,muffled,drum-machine,melancholy,shuddering,engulfing,noisy,none of the above",English,"happy,emotional,warm,beautiful,indoor","nice,big-church,echo",2014-03-24T19:00:31,NRv3OKeLVdChgKDBe1zh,reverb,"0.0388,0.9600,-0.0055,14601.0000,8.0568",yes,1V7NVzgBp4slZAuN9PAc,HsEtpB9V99pCGhnP1e2T,4749418859331584,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36",7,30.812,true,"happy,emotional,warm,beautiful,indoor",/static/audio/guitar.mp3,headphones
4,36.973,"drum-line,pushy,ardent,garage,basement,confined",English,"smooth,softer",none of the above,2014-03-17T22:39:20,NRmtxDgWbhGKZZX8dRmp,reverb,"0.0256,0.9000,-0.0096,243.0000,120.7700",yes,vyFGSYZezdwF8WUhz6a4,nTY5VN6fFzuSGvED3pfO,4749815070064640,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",4,16.533,true,"smooth,softer",/static/audio/piano.mp3,standalone
3,31.415,"fuzzy,strong,booming,heavenly,organ,peaceful,annoying,muffled,intense,organ-electronic,loud,big-church,big,none of the above",English,"sharp,tinny,staticy,harsh,high","ringing,chimes",2014-05-14T01:31:04,AM02SuV2slNB0pC12mbq,reverb,"0.0739,0.8500,-0.0113,22050.0000,19.6080",yes,ujWdjsFBPfsMHsRVR5ys,MKYgTWqv7si6HRG3GFaz,4750148466900992,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",224,21.497,true,"sharp,tinny,statics,harsh,high",/static/audio/guitar.mp3,headphones
4,60.765,"strange,fun,church-bell,waves,far-away,wavy,revers,organ-like,parking-garage,high-sound,electrified,none of the above",English,so-pleasant,"long-lasting,softer,pleasant,warm",2014-05-13T20:00:17,TF2x4gm7cxuT2R1GxtdG,reverb,"0.0660,0.9300,-0.0096,22050.0000,0.6028",yes,kTy0Pwhb1YYhOVKsZOqf,ZOCdrNpb088HG4jTw3f0,4750198664331264,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",24,12.221,true,so-pleasant,/static/audio/guitar.mp3,standalone
1,9.773,"metallic,to,empty,clear,sounds,roomy,higher,like,good,warm,rhythm,none of the above",English,"quiet,spacious","pleasant,far,spacious,guitar",2014-03-23T23:57:15,KFy7n5GmaPwVmk13K5NQ,reverb,"0.0340,0.6100,0.0014,2479.0000,8.5641",yes,2goDr9r8V7SnjNZaGvU4,SU8V4GHHTGTZ4LXrXSEr,4750406701809664,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",151,11.396,true,"quiet,spacious",/static/audio/guitar.mp3,headphones
3,89.451,,English,"delayed,tingly",,2014-03-15T01:03:03,VbgLNgbN8Mb1F8DTagxS,reverb,"0.0800,0.9000,-0.0092,8784.0000,0.8151",yes,tXuazAMDzJJAr8nSbZ6H,PN6lxlIOJtjdt7P9GhQ9,4751112150188032,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",180,16.645,true,"delayed,tingly",/static/audio/piano.mp3,headphones
1,36.937,"concert,troubled,noisy,church-chore,magic,cold,muted,scratchy,touch,bigger,bright,powerfully,none of the above",English,"close,warm","fine,meeting-hall,nice",2014-03-25T05:37:20,LKjOBMsJjpy1RELanF6X,reverb,"0.0920,0.7800,-0.0108,12426.0000,35.8940",yes,sihdoffuiXQMiCYFR2lC,vBHc2SOQE3blvQv53GKu,4751334414745600,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",240,21.062,true,"close,warm",/static/audio/guitar.mp3,headphones
4,17.95,"hollow,enlarged,natural,celestial,warm,organ-rilke,church-music,echos,powerful,strong,high,none of the above",English,"chirpy,happy","church-like,good,nice",2014-03-18T14:12:42,nnTk3P70AGGNc6PcE7qo,reverb,"0.0350,0.7900,-0.0085,434.0000,6.2107",yes,ZP9onzQycL5DZbvoeMGt,YcJeMKaZOTcCqAvGpg2e,4751520172081152,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",231,164.823,true,"chirpy,happy",/static/audio/guitar.mp3,headphones
3,33.343,"fast,clean,echo,stage,natural,loud,distant,bigger,crisp,clear,mood-lifting,echoing,none of the above",English,hall,"enhanced,masterpiece,mellow",2014-03-22T19:12:59,KAt8Dox7CzTbKFpg8soM,reverb,"0.0219,0.7600,-0.0043,9379.0000,3.1480",yes,fdPDypwI7nBqL8kGo3GH,TO16nH3BHNW4NnUO58lV,4751592112783360,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",239,59.581,true,hall,/static/audio/guitar.mp3,other
1,43.655,"convoluted,soften,strong,moving,passion,faint,none of the above",English,"drawn-out,expansive,airy","echo,open,dreamy,wet",2014-03-18T01:27:29,DJ4Qa6IchcFYSCn2MNGE,reverb,"0.0279,0.9700,-0.0053,22050.0000,10.7470",yes,CbI5HpDaGsu3BmbG1aYE,eT0NXMAjpuyTsuUL8Whh,4751889539268608,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",13,16.749,true,"drawn-out,expansive,airy",/static/audio/piano.mp3,headphones
3,31.673,"organ-sounding,big-church,death,spacious,distorted,distant,smooth,church,evil,dinosaur,sad,drum-sound,none of the above",English,"warm,pleasant,unique","full,drum,melody",2014-05-13T08:43:09,Cr7JVEzHdK1XkWx7T1jV,reverb,"0.0119,0.9500,-0.0048,22050.0000,13.0640",yes,Jd8E7HVx5ZQ2TTT2n6YR,5kyKa9eGTNHz8aih6o1f,4752245484683264,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",60,29.444,true,"warm,pleasant,unique",/static/audio/guitar.mp3,standalone
2,30.238,"strong,mode,wide,plain,boomy,hollow,cave,and,harsh,wedding,was,i,flowery,none of the above",English,"calm,soft,sad","distant,muffled",2014-03-24T18:49:37,ZSnr0TXdF5aO0UAm68D0,reverb,"0.0568,0.9300,-0.0008,1356.0000,19.1800",yes,dnL1OGsqfXLxEDY61VIZ,0v45g5Gt6tBs3wlACz4O,4752262127681536,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",177,53.802,true,"calm,soft,sad",/static/audio/piano.mp3,standalone
2,37.944,"live,warm,full,none of the above",English,"deep,dark","spacious,clear",2014-03-17T22:49:03,LsUDAcMlwiljYEp16izH,reverb,"0.0300,0.0100,0.0087,310.0000,354.0100",yes,n4soZDaeI13ZREYssPQe,s9HPgaKUkZFsSOCMfx4G,4752817252204544,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.152 Safari/537.36",6,16.46,true,"deep,dark",/static/audio/piano.mp3,headphones
3,33.279,"open,low-fidelity,not-full,dry-love,church,loud,near,muted,stretched,quieter,distant,organism,more-ringing,steady,none of the above",English,twangy,echo,2014-03-18T23:20:22,Rwykd5zHFCwBUjAr3eoy,reverb,"0.0249,0.6200,0.0092,3759.0000,72.5290",yes,1eWBhUSBzqhCeIotwYGl,a9MIys4XQlQCPKqG7IIp,4753375597953024,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",173,17.521,true,twangy,/static/audio/piano.mp3,headphones
1,9.123,"indistinct,big,haunting,smeared,deep,vast,echoes,cavernous,none of the above",English,low,low-tone,2014-03-18T03:56:02,fWaQK1ZDiPcJ4AxByhqX,reverb,"0.0900,0.9000,-0.0096,8073.0000,14.4310",yes,dESCLRAgvRlSyzTygTBy,DzlJF8X0a7zS9GeLjlPo,4753689130565632,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",183,61.461,true,low,/static/audio/guitar.mp3,headphones
4,96.386,"open,distant,softer,bass,muffled,concert,auditorium,hum,low,on-beat,clear,none of the above",English,"organ,pipe-organ,synthisizer,room-filling,sustained","too-much,buzz,echo,large-room",2014-03-20T13:31:05,AsKZMaHus6bUYBaF8j6N,reverb,"0.0249,0.9600,0.0004,22050.0000,0.5829",yes,MsvYN012pvVRTleV76ra,c1fUMCWC4jt4zu7TdAmx,4753744965140480,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",145,16.649,true,"organ,pipe-organ,synthesizer,room-filling,sustained",/static/audio/piano.mp3,headphones
4,86.523,"spacious,lovable,churchly,approaching-stormily,loud,mysterious,a-echo-howling,moody,static,hollow,echoes,distant,echo,clanging,none of the above",English,mind-blowing,bells,2014-05-13T12:41:49,5HcGBiq5iY7RLndIoxyd,reverb,"0.0759,0.9000,-0.0112,825.0000,3.2061",yes,J6ehCsqqKCZMnCFbEhUa,5hL7VVDepm11F9n9JfH1,4754115674505216,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",139,24.884,true,mind-blowing,/static/audio/guitar.mp3,standalone
3,14.835,"bass,distorted,light,treble,throbbing,murky,very-far,love,in-cave,primal,sentimental,none of the above",English,"march-band,outdoor","scary,deep,loud,massive",2014-03-23T05:02:45,kVd5d0UJ1ZE3muunolvg,reverb,"0.0549,0.9400,-0.0043,1180.0000,1.7299",yes,27fV4PvoGBl1EUv5dko1,ptZJJM20HHzzoCbXJ2Gd,4754169093160960,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",58,14.946,true,"march-band,outdoor",/static/audio/drums.mp3,headphones
3,89.604,"hollow,african,better,echoes,distorted,lonely,jungle,smooth,distorting,irritating,excellent,none of the above",English,"big-room,distant,removed,far-away-,remote,warm,inviting,friendly","away,vast-space,good,distant",2014-03-24T16:27:46,lz6gAS84spWf1vRjZSDV,reverb,"0.0300,0.7600,-0.0100,1197.0000,4.2414",yes,ccI7LTYvx45nuVQITYtG,OM3loLvsqaXHUKpR8eFO,4754942187274240,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",120,11.938,true,"big-room,distant,removed,far-away-a,remote,warm,inviting,friendly",/static/audio/guitar.mp3,standalone
3,8.454,"rational,screwed,throaty,heart-touched,smooth,echos,load,tinny,relaxing,bang,distant,muffled,none of the above",English,resound,"echoes,loud,huge-sound",2014-05-14T01:36:39,75NqPopFxsIIyT6Fep5d,reverb,"0.0810,0.9100,-0.0103,3685.0000,19.3020",yes,c8pOZBKQRZtcP0WElBkP,HyzMhLwv4X2dMxDbrXzN,4755094927048704,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",92,20.692,true,resound,/static/audio/drums.mp3,standalone
4,51.241,"quiet,suffocating,waving,church,underwater,touching,easy-listening,under-water,dreamy,watery,drowning,nocturnal,low-pitched,deep,angelic",English,"hall,echo,clouded",none of the above,2014-03-23T02:37:27,Cbngm0qptsaE5Klyg3RX,reverb,"0.0540,0.9300,-0.0110,419.0000,5.1049",yes,HPzrF41Wtp1IkzvQjmUk,PGTwaZE5OnrPYJyiTnmV,4755612202172416,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",155,10.612,true,"hall,echo,clouded",/static/audio/guitar.mp3,headphones
4,41.916,"crashing,hypnotic,overbearing,inviting,fearful,distorted,dulling,bells,church-like,spacious,droning,muffled,rolling,none of the above",English,"loving,touching","touching,loving",2014-03-18T18:06:51,RUQDPtCtmsssaabV8ZeI,reverb,"0.0310,0.9600,-0.0071,8930.0000,9.9908",yes,fujQHjYBquHVrP3Aivbq,4idcaSZOxPLeLDJZ8lDx,4756055657545728,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",108,21.427,true,"loving,touching",/static/audio/piano.mp3,headphones
4,43.918,"piping,vast,spacious,haunting,cathedral,deep,big-church,echoing,eerie,quitter,none of the above",English,mindblowing,smoother,2014-03-18T02:40:11,e37ciI2vCog1NgBbtXWD,reverb,"0.0588,0.9200,-0.0075,22050.0000,0.9162",yes,H5qUyAeGzbFWcnxGCJR6,7v7RiIa5BV8kBZ6vauTr,4756266110943232,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.101 Safari/537.36",229,16.915,true,,/static/audio/drums.mp3,headphones
4,66.505,"sharp,higher,pitch,church,clear,dramatic,none of the above",English,"sound,echo",echos,2014-03-18T00:06:39,t8hXnuRDBGJaa3w2IK4f,reverb,"0.0269,0.0100,0.0092,15203.0000,227.6000",yes,eWsxOnyqvbPw6ENkReUz,U6DuhoGtRgPGgh0SMoZT,4756528103948288,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",191,51.41,true,"sound,echo",/static/audio/piano.mp3,headphones
3,40.171,"striving,battle,swallowing,tunnel,noisy,dummy,sound,drums,ill-defined,wet,good,bad,none of the above",English,"pleasant,smooth,cool,calm","big-church,echo,echoes",2014-05-13T10:43:15,DmlVjkJ2p2tRuQTe0RiK,reverb,"0.0388,0.9600,-0.0055,14601.0000,8.0568",yes,0ZqpL0miT5OMvyn8VfzS,tCUQUo7PPOvcpCXCyZTH,4757190334218240,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",7,17.479,true,"pleasant,smooth,cool,calm",/static/audio/guitar.mp3,standalone
3,33.069,"too-much,delayed,tingly,together,not-pleasing,combine,strumming,group,spacious,acoustic,capped,guitar,dull,vibrating,none of the above",English,pleasant,loud,2014-03-18T08:56:04,zZ5DFcqBkCjhEm4rdJn0,reverb,"0.0800,0.9000,-0.0092,8784.0000,0.8151",yes,YACTPQOBxusW5GqQ9EBM,D0z5FSoHue2glCxsQdFZ,4757344147734528,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",180,17.325,true,pleasant,/static/audio/piano.mp3,laptop/tablet/cellphone
3,70.044,"wet,overwhelming,echo,sinister,dreamy,unclear,lingering,suspenseful,complete,resounding,church,not-clear,none of the above",English,"underwater,distant,mono,empty","far-away,spacious,covered",2014-03-21T17:04:44,Ww4Jn8R74PNxoyh0FoI0,reverb,"0.0230,0.9600,-0.0030,817.0000,1.7292",yes,C0OZCozmdsQWt0FqY97N,QnZhzBPcY75ZPVqVORla,4757855248842752,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",98,18.509,true,"underwater,distant,mono,empty",/static/audio/guitar.mp3,standalone
3,19.013,"moody,spacious,moderate,alone,airy,loud,lighter,horror,muted,concert-like,factory,spreading,muffled,none of the above",English,warm,"party,ringing",2014-03-23T14:42:33,Qk7datFd7FbdaPxaC7ao,reverb,"0.0129,0.7400,-0.0085,6364.0000,3.8631",yes,hWfB5F5sAnEoWzIikqew,iG5L4giWhNVKYSjiBCxy,4757879944904704,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",59,25.74,true,warm,/static/audio/piano.mp3,headphones
3,41.654,"loud,deep,thundering,dull,raspy,gloomy,drumming,feedback,distorting,bassy,under-water,none of the above",English,"soft,distant,weak","underwater,muffled,organ,distant",2014-05-13T13:36:38,INONsfnqyqPpjF7g5cPR,reverb,"0.0388,0.9600,-0.0071,170.0000,11.0950",yes,sWG5WmHwow72f8tS5JVQ,5XZzmBYcg0vfjWpOkAwF,4758032684679168,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",228,19.981,true,"soft,distant,weak",/static/audio/piano.mp3,headphones
2,68.567,"close,high-bass,deeper,room,louder,hope,calm,love,joy,hallway,repetitive,happy,none of the above",English,"old,wierd,powerful,engaging,ancient","metallic,live,fuller",2014-03-18T23:40:33,JxugRGh4ArS2812TgDz7,reverb,"0.0159,0.8000,-0.0085,7949.0000,1.4358",yes,uxiAJY49qCeDhsUi8yqZ,CWUe53BduzRTb2zTTvRh,4758632637923328,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.154 Safari/537.36",118,86.15,true,"old,wield,powerful,engaging,ancient",/static/audio/piano.mp3,standalone
1,8.754,"deep,booming,dramatic,muted,clam,ashamed,weird,haunting,remorseful,down-hearted,disappointed,worthless,alone,none of the above",English,"lovely,pleasing,warm,soft,touching","calm,small-room",2014-05-13T08:55:19,zisyaKq2l0PgWd2gur3z,reverb,"0.0568,0.8200,-0.0088,94.0000,24.3590",yes,uI1Az8HbiGbHkllbkEa8,vQiUxV6smwyIc4EfaXXs,4758703773319168,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36",109,13.087,true,"lovely,pleasing,warm,soft,touching",/static/audio/guitar.mp3,standalone
